;Action;Aventure;Sport;Course;Arcade;Infiltration;Simulation;Survival Horror;FPS;Sony;Electronic Arts;Ubisoft;Konami;Capcom;Activision
Uncharted 2;x;x; ; ; ; ; ; ; ;x; ; ; ; ;
Fifa 2010; ; ;x; ; ; ; ; ; ; ;x; ; ; ;
Assassins Creed 2;x; ; ; ; ;x; ; ; ; ; ;x; ; ;
Burnout Paradise TUB; ; ; ;x;x; ; ; ; ; ;x; ; ; ;
NFS Shift; ; ; ;x; ; ;x; ; ; ;x; ; ; ;
PES 2010; ; ;x; ; ; ; ; ;  ; ; ; ;x; ;
Saw; ; ; ; ; ; ; ;x; ; ; ; ;x; ;
Resident Evil 5; ; ; ; ; ; ; ;x; ; ; ; ; ;x;
Ratchet Et Clank; ;x; ; ; ; ; ; ; ;x; ; ; ; ;
Call Of Duty MW2; ; ; ; ; ; ; ; ;x; ; ; ; ; ;x
